trial,controller,choice_stage1,state_stage2,transition,reward,reward_prob
612,model-based,1,1,common,1,0.6721463441834394
613,model-based,1,1,common,0,0.6893100652644605
614,model-based,1,1,common,1,0.6963409018359992
615,model-free,1,1,common,1,0.720923516564221
616,model-free,1,1,common,1,0.7192274995177774
617,model-free,1,1,common,0,0.721474513729177
618,model-free,0,0,common,0,0.6802831892051401
619,model-free,1,0,rare,1,0.6705675589814437
620,model-based,0,0,common,0,0.6672690559940067
621,model-free,1,1,common,0,0.7245593251957795
622,model-free,1,0,rare,0,0.6466529965934488
623,model-based,1,1,common,1,0.75
624,model-based,1,0,rare,1,0.5990843926906928
625,model-based,1,0,rare,0,0.6717390316444983
626,model-based,1,0,rare,0,0.658302640927933
627,model-free,0,0,common,0,0.6725919172735059
628,model-based,0,0,common,1,0.7276821993441486
629,model-free,0,1,rare,1,0.7003465794606272
630,model-based,1,0,rare,1,0.7203319525471151
631,model-based,1,1,common,1,0.7483368500676453
632,model-based,1,1,common,1,0.7077360636299111
633,model-based,1,1,common,1,0.729798293039407
634,model-free,1,1,common,1,0.75
635,model-based,0,0,common,1,0.6486094061869372
636,model-free,1,0,rare,1,0.6799702030621703
637,model-based,1,1,common,1,0.6953425412637877
638,model-based,1,0,rare,1,0.690276129428818
639,model-free,1,1,common,1,0.6911114901005094
640,model-based,1,1,common,1,0.6827766418082073
641,model-based,1,1,common,1,0.7059724172958979
642,model-based,0,1,rare,1,0.7306634595766299
643,model-based,0,0,common,1,0.7386160427594342
644,model-based,1,1,common,1,0.7106797308266347
645,model-based,1,0,rare,1,0.7232444223184613
646,model-based,0,0,common,1,0.6964649536660604
647,model-free,0,1,rare,0,0.6477343628659706
648,model-based,0,0,common,1,0.7021918975906679
649,model-free,0,0,common,1,0.7139340065118323
650,model-based,0,0,common,1,0.735105903592318
651,model-based,0,0,common,0,0.6841925442737822
652,model-based,0,0,common,0,0.6381345039801135
653,model-based,0,0,common,0,0.592136806393413
654,model-based,1,1,common,0,0.7224704373337234
655,model-free,0,1,rare,0,0.7369023253840762
656,model-based,0,0,common,0,0.5680572503200365
657,model-free,1,1,common,1,0.7256678590043383
658,model-free,1,1,common,1,0.7222840796516539
659,model-based,0,0,common,1,0.5214715574356408
660,model-based,0,0,common,0,0.5636564033095325
661,model-based,0,0,common,0,0.66115408919205
662,model-free,1,0,rare,1,0.6621980898896327
663,model-based,0,1,rare,0,0.7062068710546103
664,model-based,0,0,common,1,0.7224153041826713
665,model-based,0,1,rare,0,0.6894982473855769
666,model-based,1,1,common,1,0.6998926589078468
667,model-free,1,1,common,1,0.6970778327272894
668,model-based,1,1,common,1,0.714654416491152
669,model-free,1,1,common,1,0.75
670,model-based,1,1,common,1,0.75
671,model-based,0,0,common,1,0.7139418950449147
672,model-based,0,0,common,1,0.7377218704068136
673,model-free,0,0,common,1,0.7159158588926625
674,model-free,1,0,rare,0,0.7455420416478349
675,model-based,1,1,common,0,0.7281104444803636
676,model-free,0,0,common,1,0.7189549194784227
677,model-based,0,1,rare,1,0.7297528834022075
678,model-based,0,1,rare,1,0.75
679,model-free,0,0,common,1,0.7066035755590481
680,model-free,0,0,common,1,0.7293149589940986
681,model-free,1,0,rare,1,0.6967782935724337
682,model-based,1,0,rare,1,0.6795448450698827
683,model-based,0,1,rare,0,0.6484888016908015
684,model-free,1,0,rare,1,0.6901495829461178
685,model-based,0,1,rare,0,0.5813224708747791
686,model-free,1,1,common,0,0.5741070245630726
687,model-free,0,0,common,1,0.7092084120280563
688,model-free,0,0,common,0,0.6931769477489915
689,model-free,0,1,rare,1,0.5236170622569843
690,model-based,1,1,common,1,0.4938629318002876
691,model-free,0,0,common,1,0.70559244916125
692,model-based,0,1,rare,0,0.46764291146444403
693,model-based,0,1,rare,1,0.4263330988633134
694,model-based,1,1,common,0,0.40307570544563986
695,model-based,1,1,common,0,0.4606798898903165
696,model-free,1,1,common,0,0.4491323923722772
697,model-free,0,1,rare,0,0.48447745107810625
698,model-based,0,0,common,1,0.7198251666827171
699,model-based,1,1,common,0,0.5465320634422993
700,model-based,1,1,common,0,0.5293949273256919
701,model-free,1,1,common,1,0.5434190943300145
702,model-based,0,0,common,1,0.7129698074847384
703,model-free,0,1,rare,1,0.5348873759520325
704,model-free,0,0,common,1,0.712590555611655
705,model-based,0,1,rare,1,0.5072593148372855
706,model-based,0,0,common,1,0.6992325684122781
707,model-free,0,0,common,1,0.7131494621038198
708,model-based,0,0,common,0,0.7066859013772915
709,model-free,1,1,common,0,0.5522501050935397
710,model-based,1,1,common,1,0.5638614300605029
711,model-based,1,1,common,0,0.6029479715573224
712,model-based,1,1,common,1,0.6297133110296027
713,model-free,0,0,common,1,0.69885479233739
714,model-based,1,0,rare,0,0.6724336420059722
715,model-free,1,1,common,1,0.67496427350885
716,model-free,0,1,rare,1,0.673436734354444
717,model-based,0,0,common,1,0.7003659774392341
718,model-free,1,1,common,1,0.6855312255271534
719,model-based,1,1,common,1,0.641376145276728
720,model-free,0,0,common,1,0.709888033378244
721,model-based,0,0,common,1,0.7021039191260096
722,model-based,0,0,common,1,0.6721787190627833
723,model-based,0,0,common,1,0.6430699991247708
724,model-free,0,0,common,1,0.6025827591139507
725,model-based,0,0,common,0,0.6320721719682793
726,model-based,1,1,common,1,0.621926648541921
727,model-free,1,0,rare,0,0.5744092208476785
728,model-free,1,1,common,0,0.6774466068371425
729,model-free,0,1,rare,1,0.6206511675082631
730,model-free,0,0,common,1,0.5343699460438791
731,model-based,0,1,rare,1,0.6418344163057959
732,model-based,1,1,common,1,0.6394933511368057
733,model-based,1,1,common,1,0.6356417554507163
734,model-free,0,0,common,0,0.44973705452691887
735,model-free,0,0,common,1,0.4343932791503742
736,model-free,1,0,rare,0,0.42003456065754846
737,model-free,1,1,common,0,0.6545488530286759
738,model-based,1,1,common,1,0.6622168502843067
739,model-free,0,0,common,0,0.39401878968379866
740,model-based,0,1,rare,1,0.6680364592457086
741,model-based,1,0,rare,0,0.4213675908640456
742,model-based,0,1,rare,0,0.6761161951267961
743,model-free,1,0,rare,1,0.40849925328193737
744,model-free,1,1,common,1,0.7052731611716783
745,model-free,1,1,common,1,0.6843746814042764
746,model-based,1,1,common,0,0.6856222225336066
747,model-free,1,1,common,0,0.714825278614943
748,model-free,1,1,common,1,0.75
749,model-based,1,1,common,0,0.75
750,model-based,1,1,common,1,0.75
751,model-based,1,1,common,1,0.75
752,model-based,1,1,common,1,0.7331704336191861
753,model-free,1,1,common,0,0.705397730430716
754,model-based,1,1,common,1,0.744342884835893
755,model-free,0,0,common,0,0.5110736907083792
756,model-free,1,0,rare,0,0.46919840832330806
757,model-based,1,1,common,1,0.75
758,model-free,1,1,common,1,0.75
759,model-free,1,1,common,1,0.7284201111527142
760,model-free,1,1,common,1,0.7374550591024268
761,model-based,1,1,common,1,0.730552980688018
762,model-based,1,0,rare,0,0.399490626601573
763,model-based,1,0,rare,0,0.3288243795903487
764,model-free,0,1,rare,1,0.6933183458724406
765,model-based,0,0,common,0,0.26296519866203383
766,model-based,0,0,common,0,0.25
767,model-free,1,1,common,0,0.6085366860231199
768,model-based,0,0,common,0,0.25
769,model-based,0,1,rare,1,0.6078171105530112
770,model-based,1,1,common,1,0.6325729978412457
771,model-free,1,1,common,0,0.6734663059374003
772,model-based,0,1,rare,1,0.679248978430858
773,model-free,0,0,common,0,0.2643165516311921
774,model-free,1,1,common,1,0.7432531459599929
775,model-based,1,1,common,0,0.7054737016129805
776,model-based,0,1,rare,0,0.7111019650333611
777,model-free,0,0,common,0,0.25
778,model-free,0,1,rare,1,0.69419237958342
779,model-based,1,1,common,1,0.6833938984852451
780,model-based,1,1,common,0,0.6745869569748795
781,model-based,1,1,common,1,0.6536960640078165
782,model-based,1,1,common,0,0.6202929295762827
783,model-based,1,1,common,0,0.5816934622108234
784,model-based,1,0,rare,0,0.26417518275076257
785,model-free,0,0,common,0,0.25905684882379126
786,model-based,1,0,rare,0,0.2879722288561199
787,model-free,0,1,rare,1,0.5952121785295579
788,model-free,0,0,common,1,0.25
789,model-based,1,1,common,1,0.5634368667334321
790,model-based,1,0,rare,0,0.2616270245222831
791,model-based,1,1,common,1,0.5228564035864253
792,model-based,1,1,common,1,0.5414916468386048
793,model-free,1,0,rare,0,0.29282108883294133
794,model-free,0,1,rare,0,0.4957368267292751
795,model-based,0,0,common,0,0.30385694104048333
796,model-based,1,1,common,0,0.5023281584608068
797,model-based,0,0,common,0,0.2808431040435927
798,model-based,1,1,common,1,0.5349332032237523
799,model-free,1,1,common,1,0.5130860877101154
800,model-based,0,0,common,0,0.27844383101233094
801,model-based,1,0,rare,0,0.2840770131131526
802,model-based,1,1,common,0,0.48550642840389935
803,model-free,1,0,rare,0,0.34064484960674274
804,model-based,1,0,rare,0,0.37053031312406337
805,model-based,1,0,rare,1,0.3655802183756053
806,model-free,1,0,rare,1,0.37469155799075093
807,model-free,0,0,common,1,0.3791378187896473
808,model-free,0,0,common,1,0.3685264068887209
809,model-based,0,1,rare,1,0.5196741357892876
810,model-based,0,1,rare,0,0.5435933380226312
811,model-free,1,0,rare,0,0.4625276363647278
812,model-based,1,1,common,1,0.519976869473666
813,model-free,1,1,common,0,0.49728805167855206
814,model-based,0,0,common,1,0.5170708829637144
815,model-based,0,0,common,1,0.5550764805479964
816,model-based,0,0,common,1,0.5582410943250301
817,model-based,0,0,common,1,0.5920677402316492
818,model-free,0,0,common,0,0.6020247734624002
819,model-free,0,0,common,1,0.5752818668907578
820,model-free,0,0,common,1,0.5891338183275422
821,model-free,0,0,common,1,0.5845940003734176
822,model-based,0,0,common,0,0.5887148963210869
823,model-based,0,0,common,1,0.5952343008237707
824,model-based,0,0,common,0,0.6478835949070134
825,model-based,1,1,common,0,0.6001210780078737
826,model-based,0,0,common,1,0.646234590271239
827,model-based,0,0,common,0,0.6612439411029895
828,model-free,1,0,rare,1,0.6599442962197827
829,model-based,1,1,common,0,0.5789648188642795
830,model-based,0,0,common,1,0.6685323780325042
831,model-free,0,0,common,0,0.6562637801054279
832,model-based,1,1,common,1,0.5931009743330956
833,model-free,1,0,rare,1,0.6708062298293792
834,model-based,0,0,common,0,0.6654259283797455
835,model-based,0,1,rare,0,0.5966562016070749
836,model-based,0,0,common,1,0.6034376929445493
837,model-free,0,0,common,0,0.5883457351253183
838,model-free,1,1,common,0,0.6033771304411921
839,model-based,1,1,common,1,0.601916912060652
840,model-based,1,1,common,1,0.6751759382140293
841,model-based,1,0,rare,1,0.6148173917437325
842,model-free,1,0,rare,1,0.6150587143925208
843,model-free,1,0,rare,1,0.6623340831026249
844,model-based,0,0,common,1,0.689798330818734
845,model-based,1,0,rare,1,0.6599505157536609
846,model-based,1,1,common,0,0.600095024918243
847,model-free,1,1,common,1,0.6265201325894421
848,model-based,1,1,common,1,0.5921058665753547
849,model-based,0,0,common,1,0.6535711823895711
850,model-based,0,0,common,0,0.6401479981042867
851,model-free,1,0,rare,1,0.6056139345331861
852,model-free,1,1,common,0,0.5733521710954168
853,model-based,0,0,common,0,0.6228459750026104
854,model-based,0,0,common,0,0.5894747682229411
855,model-free,0,1,rare,1,0.5963769705154978
856,model-free,0,0,common,0,0.6515469291686868
857,model-based,1,1,common,0,0.5822537402701473
858,model-free,0,0,common,0,0.6169088555591841
859,model-free,0,0,common,0,0.6340375448249984
860,model-free,1,1,common,1,0.6468320007537549
861,model-based,0,0,common,0,0.6024064086153199
862,model-based,0,0,common,1,0.6165063638490644
863,model-based,0,0,common,1,0.606352910612471
864,model-free,0,0,common,1,0.5915900573645875
865,model-free,0,0,common,0,0.5831393666176573
866,model-free,1,1,common,1,0.6376871563662434
867,model-based,1,1,common,1,0.7011793030008593
868,model-based,1,1,common,0,0.7249070532153368
869,model-free,1,1,common,0,0.7156056515286413
870,model-based,1,1,common,1,0.7455660796769837
871,model-based,1,1,common,0,0.7079827406325693
872,model-based,0,0,common,1,0.4723443751967133
873,model-free,1,0,rare,1,0.42712923531809377
874,model-based,0,0,common,0,0.40403377449661215
875,model-based,0,0,common,0,0.4335222108469895
876,model-free,0,0,common,1,0.40442351418451716
877,model-free,1,1,common,1,0.7384336101272059
878,model-free,1,1,common,1,0.7407116809692841
879,model-free,1,0,rare,1,0.41522429457893706
880,model-free,1,0,rare,0,0.4063402534172427
881,model-based,1,1,common,1,0.75
882,model-based,1,1,common,1,0.7276364668057675
883,model-free,1,1,common,0,0.7054566877702607
884,model-based,0,0,common,0,0.39031472887809254
885,model-based,0,0,common,0,0.33619963713524864
886,model-based,1,1,common,1,0.6105823267329715
887,model-free,0,1,rare,1,0.6124714267820556
888,model-based,1,0,rare,0,0.2997081534630988
889,model-free,1,1,common,0,0.5698599564383597
890,model-free,0,0,common,0,0.2781972697656022
891,model-free,1,1,common,1,0.5371292567983643
892,model-free,1,0,rare,0,0.2623799578922806
893,model-based,1,1,common,0,0.5432125049641843
894,model-free,0,0,common,0,0.26323106242818134
895,model-based,0,0,common,0,0.2734982571779673
896,model-based,1,1,common,0,0.5781418958555904
897,model-based,1,1,common,1,0.5886638176631943
898,model-based,1,0,rare,0,0.2578398844823457
899,model-free,1,1,common,0,0.6276481044646149
900,model-free,1,1,common,1,0.6020278331220342
901,model-free,1,1,common,0,0.5705683423637591
902,model-free,1,0,rare,0,0.25
903,model-free,0,0,common,0,0.27582664500925413
904,model-based,1,1,common,1,0.507032466916872
905,model-free,1,1,common,1,0.49480105724138346
906,model-based,1,1,common,0,0.469289529500681
907,model-based,0,0,common,0,0.276145612419716
908,model-free,0,1,rare,0,0.4696475147383175
909,model-free,1,1,common,0,0.42977793173591056
910,model-based,0,0,common,0,0.32948306340745187
911,model-based,1,1,common,0,0.4117859844537976
912,model-free,1,1,common,0,0.3849252844101988
913,model-based,0,0,common,0,0.2825789091327517
914,model-free,1,0,rare,1,0.2615406171607988
915,model-free,1,1,common,1,0.38759412974022706
916,model-based,0,0,common,0,0.2550133825757229
917,model-free,0,0,common,0,0.25
918,model-free,1,1,common,0,0.3726047599211765
919,model-free,1,1,common,1,0.36014626950843776
920,model-free,1,1,common,0,0.3995574699166229
921,model-based,1,1,common,0,0.38004170599979414
922,model-based,1,1,common,1,0.3866032642716366
923,model-free,1,0,rare,0,0.25
924,model-free,0,0,common,0,0.2699881079206276
925,model-based,1,1,common,1,0.43244127572782254
926,model-free,1,1,common,0,0.4248861616735423
927,model-based,1,1,common,1,0.38537051440743236
928,model-free,1,0,rare,0,0.342633554568427
929,model-based,0,1,rare,1,0.4275633273149698
930,model-based,0,0,common,0,0.3944448621611298
931,model-based,1,0,rare,0,0.3951379529034143
932,model-based,1,1,common,1,0.4557940069841285
933,model-based,1,1,common,0,0.4585771805417494
934,model-based,1,0,rare,1,0.4356335901748958
935,model-free,1,0,rare,1,0.4742611447633195
936,model-based,1,1,common,1,0.34909209891992404
937,model-based,1,1,common,0,0.3743698723789328
938,model-based,1,1,common,0,0.38375622863863657
939,model-based,0,0,common,0,0.4927016472957688
940,model-free,0,0,common,0,0.454026468994195
941,model-free,0,0,common,0,0.46802352014950727
942,model-free,0,0,common,0,0.4983255704933138
943,model-based,0,1,rare,0,0.4463834394464311
944,model-based,0,0,common,1,0.49135546614118647
945,model-based,0,0,common,1,0.4847626402114584
946,model-based,0,0,common,1,0.5384302941412529
947,model-based,1,1,common,0,0.5076758121155921
948,model-free,1,0,rare,1,0.4988883203196982
949,model-free,0,0,common,1,0.48626213116144074
950,model-based,0,0,common,0,0.5126376971901765
951,model-based,0,0,common,0,0.5048723199003936
952,model-free,0,0,common,1,0.4896734302317308
953,model-free,1,1,common,0,0.43866472758342767
954,model-free,1,0,rare,1,0.5292511334396158
955,model-based,0,0,common,1,0.544395911687564
956,model-based,0,0,common,0,0.48271688752198416
957,model-based,0,0,common,1,0.44468711792732
958,model-based,0,0,common,0,0.5014005532841768
959,model-based,1,0,rare,0,0.4773972307240114
960,model-free,0,0,common,1,0.5070473793896668
961,model-free,0,0,common,0,0.5218802063981987
962,model-based,0,0,common,0,0.5881421197821403
963,model-based,0,0,common,0,0.582182850404165
964,model-free,0,0,common,1,0.5719658760149855
965,model-free,0,1,rare,0,0.4546362837051493
966,model-based,0,0,common,1,0.5672390692886069
967,model-free,0,1,rare,1,0.4756246912473696
968,model-based,1,1,common,1,0.50992552471622
969,model-based,0,1,rare,1,0.4757971665343218
970,model-free,0,0,common,1,0.5787880156788892
971,model-free,0,0,common,1,0.546796670043405
972,model-based,0,1,rare,0,0.5188620562834173
973,model-based,0,0,common,0,0.6390620300685056
974,model-based,1,0,rare,1,0.6343447503973021
975,model-based,1,1,common,1,0.5427550705390876
976,model-free,0,1,rare,0,0.5171927792842365
977,model-based,0,0,common,0,0.6623575761942812
978,model-based,0,0,common,0,0.6500870019375294
979,model-based,0,0,common,0,0.6122713714835771
980,model-based,1,1,common,0,0.5588420513008624
981,model-based,1,1,common,0,0.5538486525133267
982,model-based,0,0,common,0,0.6828516067559978
983,model-free,0,0,common,0,0.666803375088479
984,model-based,0,0,common,1,0.6160735326304412
985,model-based,1,1,common,0,0.5352175105461403
986,model-based,0,1,rare,0,0.565674178860451
987,model-free,0,1,rare,1,0.5828755867045328
988,model-based,1,1,common,0,0.5786793755243492
989,model-based,1,1,common,0,0.5792963060996167
990,model-free,0,0,common,1,0.5335766885443436
991,model-based,0,1,rare,1,0.6154083605753154
992,model-based,0,0,common,1,0.5661161857517393
993,model-free,0,0,common,1,0.5304658615974708
994,model-based,1,0,rare,0,0.5199128945225288
995,model-free,0,0,common,1,0.47930215719083613
996,model-free,0,0,common,0,0.461828594645652
997,model-free,0,0,common,0,0.4513166794710135
998,model-based,0,1,rare,0,0.6391101709178275
999,model-based,0,0,common,1,0.415192998219409
1000,model-based,1,0,rare,0,0.45105001119695465
