trial,controller,choice_stage1,state_stage2,transition,reward,reward_prob
140,model-based,0,0,common,0,0.574309313634779
141,model-free,1,1,common,1,0.7289976375397241
142,model-free,1,0,rare,1,0.6311009781825653
143,model-free,1,1,common,1,0.6587644105620756
144,model-based,0,0,common,0,0.6349902499916349
145,model-based,1,1,common,1,0.708999773697823
146,model-free,1,0,rare,0,0.6809968347740823
147,model-based,1,1,common,1,0.6630537188901159
148,model-based,1,1,common,1,0.6901266913372621
149,model-free,1,1,common,1,0.6986304951917072
150,model-free,1,1,common,0,0.6639195735096202
151,model-based,1,1,common,1,0.6919154138092634
152,model-based,0,0,common,1,0.6654667138296793
153,model-based,0,1,rare,0,0.6631427468483667
154,model-free,0,1,rare,1,0.669750384671516
155,model-based,1,1,common,1,0.6869554519186786
156,model-free,1,0,rare,1,0.6816570010578145
157,model-based,0,0,common,1,0.7138035139024762
158,model-based,0,1,rare,1,0.6879819080479895
159,model-free,1,1,common,1,0.7003475062420688
160,model-free,0,0,common,0,0.75
161,model-based,1,1,common,1,0.6504251279029648
162,model-free,1,1,common,1,0.6173057299451598
163,model-based,1,0,rare,1,0.7080518394515277
164,model-based,1,1,common,1,0.6479442902993588
165,model-based,1,1,common,0,0.6749724797669224
166,model-free,0,1,rare,1,0.7024569865211121
167,model-free,0,0,common,0,0.7026695468549051
168,model-based,1,1,common,1,0.6536335004819894
169,model-based,1,0,rare,0,0.7372259089553524
170,model-based,1,1,common,0,0.6778590265937765
171,model-based,1,0,rare,1,0.7260176094343401
172,model-free,1,0,rare,1,0.72952109333888
173,model-based,0,0,common,0,0.7155507748914339
174,model-based,0,0,common,1,0.7023245538325802
175,model-based,1,1,common,0,0.745761253715556
176,model-free,1,1,common,0,0.75
177,model-free,0,0,common,1,0.6550427906590884
178,model-free,0,1,rare,0,0.745358663893542
179,model-free,0,0,common,1,0.6353906468090453
180,model-based,0,0,common,0,0.6395139291179791
181,model-based,0,0,common,1,0.5986339149278663
182,model-free,1,1,common,1,0.75
183,model-based,1,0,rare,1,0.6028609681780127
184,model-based,0,1,rare,0,0.75
185,model-based,1,1,common,1,0.7476065945131525
186,model-free,0,0,common,0,0.6085176524745228
187,model-based,0,0,common,0,0.6377653349835711
188,model-based,1,1,common,0,0.7482462432122524
189,model-based,1,1,common,1,0.75
190,model-free,0,1,rare,1,0.75
191,model-based,0,0,common,1,0.6340142330280388
192,model-free,0,1,rare,1,0.75
193,model-based,1,1,common,1,0.7145556471585635
194,model-free,1,1,common,1,0.7369315772543965
195,model-free,1,1,common,0,0.7267441745714348
196,model-free,0,1,rare,1,0.729238025535152
197,model-based,0,0,common,1,0.5883607191208541
198,model-based,0,0,common,0,0.5894243587835138
199,model-based,0,0,common,1,0.6457525890047741
200,model-based,0,1,rare,1,0.75
201,model-based,0,1,rare,1,0.75
202,model-free,0,1,rare,1,0.75
203,model-based,0,1,rare,1,0.71816705451975
204,model-free,0,0,common,1,0.723586379982402
205,model-free,0,0,common,1,0.7048164163360724
206,model-based,1,1,common,1,0.6740658285342517
207,model-based,0,1,rare,1,0.6530715060366032
208,model-based,0,1,rare,0,0.6631170077428735
209,model-free,0,1,rare,0,0.663194585010947
210,model-free,1,1,common,1,0.6226268506016189
211,model-based,1,1,common,0,0.6161430743019006
212,model-based,0,0,common,1,0.7479295653701701
213,model-based,1,1,common,1,0.6252636873191746
214,model-based,1,1,common,1,0.6138135200625928
215,model-based,0,1,rare,1,0.6372646253246158
216,model-free,0,0,common,1,0.75
217,model-based,0,0,common,1,0.7195906764009222
218,model-free,0,0,common,0,0.75
219,model-based,1,1,common,0,0.6904815709273676
220,model-based,1,1,common,1,0.7025217919096022
221,model-free,1,0,rare,1,0.7266733752949022
222,model-based,1,1,common,0,0.6994993020060652
223,model-based,1,0,rare,0,0.7217847605183088
224,model-based,1,1,common,1,0.6572685340585388
225,model-free,0,0,common,0,0.75
226,model-free,0,0,common,1,0.7289521025091453
227,model-based,0,0,common,0,0.75
228,model-based,1,1,common,1,0.629346477902755
229,model-free,1,0,rare,1,0.75
230,model-free,0,0,common,0,0.75
231,model-based,1,1,common,0,0.6699637013133972
232,model-based,1,1,common,0,0.672633303342697
233,model-based,1,1,common,1,0.692444399924621
234,model-free,1,1,common,1,0.6719882747312896
235,model-free,1,1,common,1,0.6598322723523978
236,model-free,1,1,common,0,0.6491858910706323
237,model-based,0,0,common,1,0.7243956487616499
238,model-based,0,1,rare,0,0.5528081964056185
239,model-free,1,1,common,1,0.5659630474278422
240,model-based,1,1,common,0,0.5802123830351158
241,model-based,1,1,common,0,0.54064423135103
242,model-based,0,1,rare,0,0.5551812774559376
243,model-free,0,0,common,1,0.7329703724112171
244,model-free,0,1,rare,1,0.5235244680303424
245,model-based,0,0,common,0,0.692826206722551
246,model-based,1,1,common,0,0.5413349234265704
247,model-based,1,1,common,1,0.5214939701052772
248,model-based,1,0,rare,1,0.6979216535415137
249,model-based,1,1,common,0,0.45145002603777684
250,model-based,0,0,common,1,0.6926707362191289
251,model-based,1,1,common,1,0.5338468167499537
252,model-based,1,1,common,1,0.5774439586723293
253,model-free,1,1,common,1,0.5668347166307128
254,model-based,1,0,rare,1,0.6217463669552751
255,model-based,1,1,common,0,0.6004863817766234
256,model-free,0,1,rare,0,0.5886239719013495
257,model-based,1,1,common,0,0.5858536709856002
258,model-based,0,0,common,0,0.626785402998231
259,model-based,1,0,rare,1,0.6590610085895467
260,model-based,1,1,common,1,0.6277032859387848
261,model-based,1,1,common,1,0.6173741787680944
262,model-based,1,0,rare,0,0.6194922731587973
263,model-based,1,0,rare,1,0.6034319670830046
264,model-based,1,0,rare,1,0.6176153080410791
265,model-based,1,1,common,1,0.6377183860554954
266,model-free,1,1,common,0,0.6675835479157506
267,model-free,1,1,common,1,0.6477122867354206
268,model-based,0,1,rare,0,0.692616327927353
269,model-free,1,1,common,1,0.6872468409295426
270,model-based,0,0,common,1,0.5524943074942199
271,model-based,0,0,common,1,0.5543245288145106
272,model-free,0,0,common,1,0.5401694245148855
273,model-based,1,0,rare,0,0.5494020563687437
274,model-free,0,0,common,0,0.5510849272231951
275,model-free,1,1,common,1,0.7169109148888901
276,model-based,1,0,rare,1,0.5632905136882622
277,model-based,1,0,rare,0,0.5681998195335969
278,model-free,1,1,common,0,0.6932954678565804
279,model-free,1,0,rare,1,0.5688233425159172
280,model-based,1,1,common,0,0.7418091622964531
281,model-based,0,0,common,1,0.538920423569425
282,model-based,0,1,rare,1,0.75
283,model-based,1,1,common,1,0.75
284,model-based,1,1,common,1,0.7462139423801004
285,model-based,1,1,common,1,0.7270276828841481
286,model-based,0,0,common,0,0.5577278214348181
287,model-free,0,0,common,1,0.5476314943451762
288,model-based,1,0,rare,0,0.5638390456616689
289,model-based,1,1,common,0,0.7064030786276972
290,model-based,1,0,rare,1,0.5561169472904846
291,model-based,1,1,common,1,0.6786580231487953
292,model-based,0,0,common,0,0.5497764287340091
293,model-free,1,1,common,0,0.671401896826279
294,model-based,1,1,common,1,0.6901660033460608
295,model-based,1,1,common,1,0.7306797722625509
296,model-based,1,1,common,1,0.6930219141067706
297,model-free,1,1,common,1,0.6664867174291619
298,model-based,0,0,common,1,0.6117839948219443
299,model-based,1,0,rare,1,0.6297446313850663
300,model-based,1,1,common,0,0.6885503744736895
301,model-free,1,0,rare,0,0.6623762184709553
302,model-based,1,1,common,1,0.7050442569059631
303,model-free,0,1,rare,1,0.7012205100339935
304,model-based,0,1,rare,0,0.7025282297883271
305,model-based,0,1,rare,1,0.7118294257442381
306,model-based,0,0,common,1,0.7487726491198382
307,model-free,0,0,common,1,0.75
308,model-based,0,1,rare,1,0.6722438641135815
309,model-free,1,0,rare,1,0.75
310,model-based,0,1,rare,0,0.6696629610901237
311,model-free,0,0,common,1,0.7362289619930776
312,model-based,0,0,common,1,0.75
313,model-based,1,0,rare,0,0.7235753287624018
314,model-free,0,0,common,1,0.6951188556035626
315,model-free,0,1,rare,0,0.7123758898599863
316,model-based,0,0,common,0,0.6600379721814047
317,model-based,0,0,common,1,0.676971547938069
318,model-based,0,0,common,0,0.6383342869673337
319,model-based,0,0,common,0,0.6482149133185107
320,model-free,0,0,common,0,0.7022966256149782
321,model-based,0,0,common,1,0.7346095079373259
322,model-free,1,1,common,0,0.7403899114941286
323,model-free,1,1,common,1,0.75
324,model-based,0,0,common,1,0.7430342363559127
325,model-based,0,1,rare,1,0.7408278311266595
326,model-free,0,0,common,1,0.7204348610471687
327,model-based,0,0,common,1,0.7321675531813786
328,model-based,0,0,common,1,0.702546043627678
329,model-based,1,0,rare,1,0.7210314477996898
330,model-based,1,1,common,0,0.7261050127637289
331,model-based,1,1,common,1,0.7108353529152001
332,model-free,0,1,rare,1,0.75
333,model-based,0,0,common,1,0.680161819012239
334,model-based,1,0,rare,1,0.6836044597830744
335,model-free,1,1,common,0,0.75
336,model-free,0,0,common,1,0.7076786536249249
337,model-based,0,0,common,1,0.6820341879340468
338,model-free,0,1,rare,1,0.6888856811518008
339,model-based,0,0,common,1,0.685456080693249
340,model-based,0,1,rare,1,0.6473738812716512
341,model-free,0,0,common,1,0.729789370390062
342,model-based,0,0,common,1,0.75
343,model-based,0,0,common,1,0.75
344,model-based,0,0,common,1,0.75
345,model-based,0,0,common,1,0.75
346,model-based,0,0,common,1,0.7086540310649208
347,model-based,0,0,common,1,0.6790776098940282
348,model-based,1,1,common,0,0.7050810561453859
349,model-based,0,1,rare,1,0.6949966179322448
350,model-free,0,1,rare,0,0.7376602734836017
351,model-based,0,0,common,1,0.7211791564029246
352,model-free,0,0,common,0,0.7315951302217106
353,model-based,0,0,common,1,0.75
354,model-free,0,0,common,1,0.7297941861350437
355,model-free,0,0,common,1,0.6986020864383051
356,model-free,0,0,common,1,0.6925723707280571
357,model-based,0,0,common,1,0.6948747120361615
358,model-based,1,0,rare,0,0.7075103766566506
359,model-based,1,0,rare,1,0.7129252837546741
360,model-free,0,1,rare,1,0.7041031718282268
361,model-based,0,1,rare,1,0.7131267443224574
362,model-free,0,1,rare,1,0.7091166539136392
363,model-based,0,0,common,0,0.7200830100167072
364,model-based,1,0,rare,1,0.6901476165138755
365,model-free,0,1,rare,1,0.6675919173789673
366,model-free,1,1,common,0,0.6636268447095
367,model-free,1,1,common,1,0.6812003186944128
368,model-based,1,0,rare,1,0.6879803326285379
369,model-free,0,1,rare,1,0.669113582985144
370,model-based,0,1,rare,0,0.6808484334284938
371,model-free,1,1,common,0,0.6652275833845712
372,model-free,1,1,common,1,0.630071102595326
373,model-based,1,1,common,1,0.6136291096997647
374,model-based,0,0,common,0,0.6670272448979726
375,model-free,0,1,rare,0,0.6215662958501483
376,model-based,1,1,common,1,0.6379099614014351
377,model-free,0,0,common,0,0.6102467050777791
378,model-free,1,0,rare,0,0.594276313878286
379,model-free,1,1,common,1,0.5893886196326286
380,model-free,1,1,common,1,0.6101792816085805
381,model-based,1,1,common,0,0.561075597603135
382,model-based,0,0,common,0,0.5906508899347569
383,model-free,0,0,common,1,0.5675988285498845
384,model-free,0,0,common,0,0.5896004139098517
385,model-based,1,0,rare,0,0.6046052600806529
386,model-free,1,0,rare,0,0.5696203963734585
387,model-based,1,1,common,0,0.5761901154286576
388,model-based,1,0,rare,1,0.6040339963322081
389,model-free,0,1,rare,1,0.6173153423513833
390,model-based,0,1,rare,0,0.6187270045235087
391,model-based,1,1,common,1,0.5947736352437287
392,model-based,1,0,rare,1,0.5696105753449971
393,model-free,1,0,rare,0,0.5665850913096602
394,model-free,1,1,common,1,0.6277107279874249
395,model-based,1,1,common,0,0.6490237295408312
396,model-free,0,0,common,0,0.44402972862784773
